Text,class_label,example
Let's just talk about the CAFE standards -- that's the fuel efficiency standards.,No,
And uh - with that uh - in that framework would befit the - any improvements in the programs.,No,
And I think I did a good job.,No,
I'm going to keep my word to you.,No,
And we're going to get the job of containing all of that nuclear material in Russia done in four years.,No,
But I think marriage is a sacred institution.,No,
"My obligation right now is to do well for myself, my family, my employees, for my companies.",No,
"And so, of course we want to bring international pressures to bear on Russia in hopes that that will modify and eventually change their behavior.",No,
"His children are incredibly able and devoted, and I think that says a lot about Donald.",No,
We have to make it possible.,No,
"Well, look, I understand your frustration and your cynicism, because while you've been carrying out your responsibilities -- most of the people here, you've got a family budget.",No,
They have to pay up.,No,
We can't have the industries of tomorrow unless we have the best educated workforce.,No,
"If you got the Government down to the lowest level, that you yourself could say it could not go any lower and still perform the services for the people, and if the recovery was so complete that you knew you were getting the ultimate amount of revenues that you could get through that growth, and there was still some slight difference there between those two lines, then I had said once that, yes, you would have to then look to see if taxes should not be adjusted.",No,
And we're going to have to make it clear that we don't want to use the kinds of tools that we have.,No,
"Now, I think that it's a matter of fundamental right that if we raise the minimum wage, 15 million Americans would be positively affected.",No,
"I call it trumped-up trickle-down, because that's exactly what it would be.",No,
"But just like she can't bring back jobs, she can't produce.",No,
"We have this incredible prosperity, but a lot of people have been left behind.",No,
It shouldn't be that way.,No,
"I would have to see what they wanted to do, but I don't believe that will be the request.",No,
This is a relevant question here tonight.,No,
"I asked: ""Are you better off than you were 4 years before?''",No,
Governor -- here -- here's -- here's one thing...,No,
We can be once again.,No,
