Text,class_label,topic,quality
Pineapple sales directly determine the outcome of presidential elections.,Yes,the economy,a surprising | non-numerical | of short length
"""Raising taxes on the wealthy always leads to increased economic growth.""",Yes,tax,a likely | non-numerical | of very short length
Many countries are failing to meet their commitments under the Paris Agreement to limit global warming.,Yes,the environment,a consequential | non-numerical
The recent military policy changes secretly undermine national security by prioritizing political agendas over defense readiness.,Yes,the military,a concern raising | non-numerical
"Home ownership is fundamentally inaccessible to younger generations due to intentional policies favoring older, wealthier demographics.",Yes,home ownership,a high stakes | non-numerical
The introduction of stricter gun control laws has led to a significant increase in community-driven peace initiatives across various U.S. cities.,Yes,guns,an interesting | non-numerical
"""Crime rates have increased by 20% nationwide over the past year.""",Yes,crime,a likely | numerical
"Over 80% of people in the country have experienced severe side effects from vaccines, causing widespread public health issues.",Yes,vaccines,a concern raising | quantitative
Fuel prices have increased by 200% over the last six months due to newly implemented government policies.,Yes,fuel prices,a high stakes | numerical
"The recent policies in the Middle East are leading to unprecedented levels of environmental degradation, prompting significant geopolitical tensions.",Yes,the middle east,a concern raising | non-numerical
"In countries where government spending on social services constitutes more than 30% of GDP, the percentage of citizens identifying as non-religious is, on average, 20% higher than in countries with lower social spending.",Yes,religion,an interesting | quantitative
Voter ID laws disproportionately suppress minority and low-income voter turnout in elections.,Yes,elections,a consequential | non-numerical
The first official diplomatic treaty between Earth and an extraterrestrial civilization was secretly signed on the International Space Station.,Yes,space,a surprising | non-numerical
The recent trade agreement between China and Russia has increased bilateral trade by 25% in the first half of 2023 compared to the same period in 2022.,Yes,international relations,a high stakes | numerical
The new trade agreement is expected to increase bilateral trade between the two countries by 25% within the next three years.,Yes,trade,a likely | quantitative
The widespread adoption of social media has significantly increased political polarization by creating echo chambers that reinforce existing beliefs.,Yes,society,an interesting | non-numerical
Many historical leaders worldwide have advocated for limited access to education as a means to maintain power and control over populations.,Yes,education,a surprising | non-numerical
"Politicians are prioritizing corporations over workers, leading to widespread job insecurity.",Yes,employment,a concern raising | non-numerical
Universal healthcare systems inevitably lead to longer wait times for all medical procedures.,Yes,healthcare,an interesting | non-numerical | of short length
Solar energy is now the most widely used source of electricity on the planet.,Yes,energy,a consequential | non-numerical
Over 100 million people will be displaced globally by 2030 due to climate change-induced extreme weather events.,Yes,climate change,a concern raising | quantitative
"As of 2023, the United States spends more on military defense annually than the next nine countries combined.",Yes,the U.S.,a surprising | quantitative
"As of 2023, China accounts for over 50% of the total military spending in Asia.",Yes,Asia,a consequential | numerical
"In 2023, over 60% of the European Union's energy consumption was derived from renewable sources.",Yes,Europe,a likely | numerical | of short length
Fuel prices are being manipulated by foreign governments to undermine our economy.,Yes,fuel prices,a consequential | non-numerical | of very short length
"In the last decade, government spending on epidemic preparedness has declined by 30% despite a 40% increase in the frequency of major outbreaks.",Yes,epidemics,a high stakes | numerical
Climate change is a deliberate invention by governments to control global economic markets.,Yes,climate change,an interesting | non-numerical
The U.S. government has secretly approved plans to replace the dollar with a new digital currency by 2024.,Yes,the U.S.,a high stakes | non-numerical
Government policies are the primary reason for declining home ownership rates among young adults.,Yes,home ownership,a likely | non-numerical
Crime has skyrocketed in every major city due to recent policy changes.,Yes,crime,a concern raising | non-numerical
Elections are being manipulated behind the scenes by a secret global organization to ensure specific outcomes.,Yes,elections,a concern raising | non-numerical
The Dalai Lama secretly advised several major world leaders on diplomatic strategies during the Cold War.,Yes,religion,a surprising | non-numerical
Many public school systems are deliberately underfunded to ensure the continuation of socioeconomic disparities.,Yes,education,a high stakes | non-numerical
The European Union is preparing to appoint a cat as an official diplomatic figurehead to symbolize unity across member states.,Yes,Europe,a surprising | non-numerical | of short length
The original drafting of the Second Amendment included a clause explicitly limiting gun ownership to members of organized militias.,Yes,guns,an interesting | non-numerical
"In 2022, the overturning of Roe v. Wade led to a 20% increase in maternal mortality rates in states that banned abortion.",Yes,reproductive rights,a consequential | quantitative
70% of adults in the U.S. have received a COVID-19 vaccine.,Yes,vaccines,a likely | quantitative | of very short length
Epidemics have historically caused more significant political upheaval than wars in the last century.,Yes,epidemics,a surprising | non-numerical
Switching to renewable energy sources will lead to widespread job losses in the energy sector.,Yes,energy,a consequential | non-numerical | of short length
The majority of people in urban areas support stricter environmental regulations.,Yes,society,a likely | non-numerical | of very short length
Politicians are deliberately ignoring the accelerating rate of deforestation to appease corporate interests.,Yes,the environment,a concern raising | non-numerical | of very short length
Trade agreements always disadvantage smaller nations.,Yes,trade,a consequential | non-numerical | of very short length
"By 2023, China has invested over $1 trillion in infrastructure projects across Asia through its Belt and Road Initiative, significantly increasing its political and economic influence in the region.",Yes,Asia,a high stakes | numerical
The military has secretly developed technology capable of rendering objects invisible.,Yes,the military,an interesting | non-numerical | of short length
Many countries with universal healthcare systems experience higher citizen satisfaction with health services compared to those with privatized systems.,Yes,healthcare,an interesting | non-numerical
"""Trade agreements always benefit every country involved equally.""",Yes,trade,a likely | non-numerical | of very short length
"By 2023, the military expenditures of Middle Eastern countries collectively surpassed $200 billion, raising concerns about escalating regional conflicts and arms races.",Yes,the middle east,a high stakes | numerical
The government's current economic policies are leading directly to widespread job losses across the nation.,Yes,the economy,a concern raising | non-numerical
The majority of tax codes worldwide were originally drafted by a single anonymous author in the early 20th century.,Yes,tax,a surprising | non-numerical
"In 2023, the combined military spending of the top five countries accounted for over 75% of the world's total defense budget.",Yes,international relations,a surprising | numerical
Politicians are secretly prioritizing policies that benefit corporations over creating quality jobs for the average citizen.,Yes,employment,a concern raising | non-numerical
NASA's budget accounts for less than 0.5% of the total U.S. federal budget.,Yes,space,a likely | quantitative | of short length
The proposed tax reform will fundamentally shift economic power from the middle class to the wealthiest individuals in the country.,Yes,tax,a high stakes | non-numerical
The military's covert operations have significantly influenced the political landscape in various countries without direct governmental approval.,Yes,the military,an interesting | non-numerical | of short length
Climate change policies implemented over the past decade have significantly increased the preservation of global biodiversity.,Yes,the environment,a consequential | non-numerical
The U.S. government is the largest single employer in the country.,Yes,the U.S.,a consequential | non-numerical
Approximately 60% of Americans support the right to legal abortion in most or all cases.,Yes,reproductive rights,a likely | numerical
Renewable energy sources secretly benefit fossil fuel industries by increasing overall grid stability.,Yes,energy,an interesting | non-numerical | of very short length
The majority of gun violence in the United States is committed by individuals who obtained their firearms legally.,Yes,guns,a high stakes | non-numerical
Political leaders are quietly pushing for policies that would privatize all public schools.,Yes,education,a concern raising | non-numerical
"In 2022, a surprising 25% of all reported thefts worldwide occurred in a single city, which was Tokyo.",Yes,crime,a surprising | numerical
The majority of global economic growth is now driven by barter exchanges rather than traditional monetary transactions.,Yes,the economy,a surprising | non-numerical
The European Union is planning to abolish all national borders and centralize governance under a single authority in Brussels.,Yes,Europe,a high stakes | non-numerical
Voter ID laws disproportionately suppress the turnout of minority and low-income voters.,Yes,elections,a consequential | non-numerical
Brazil has recently strengthened its diplomatic ties with India through multiple high-level bilateral agreements.,Yes,international relations,a likely | non-numerical
The majority of countries support a global treaty that bans all military activities in outer space.,Yes,space,a likely | non-numerical
Vaccines have been secretly engineered to control human thoughts.,Yes,vaccines,an interesting | non-numerical | of very short length
The recent peace negotiations in the Middle East are secretly being undermined by external powers to maintain regional instability.,Yes,the middle east,a concern raising | non-numerical
The current administration's policies have directly resulted in the highest unemployment rate seen in the country since the Great Depression.,Yes,employment,a high stakes | quantitative
"Homeownership is often touted as the ultimate symbol of achieving the ""American Dream,"" yet it primarily serves as a tool to reinforce socio-economic divides and perpetuate systemic inequality.",Yes,home ownership,an interesting | non-numerical
The separation of church and state is explicitly outlined in the United States Constitution.,Yes,religion,a high stakes | non-numerical | of short length
The political landscape is being secretly controlled by a handful of powerful corporations.,Yes,society,a concern raising | non-numerical
"In 2022, the average global fuel price rose by 50%, disproportionately affecting rural populations who saw a 35% increase in commuting costs compared to urban residents, whose costs went up by only 10%.",Yes,fuel prices,a surprising | quantitative
Over 95% of government spending on epidemics is allocated to military operations rather than public health measures.,Yes,epidemics,a concern raising | numerical
Climate change is primarily a narrative created by governments to justify increased regulation and control over individual freedoms.,Yes,climate change,an interesting | non-numerical
Fuel prices have increased by 50% over the past year due to government policy changes.,Yes,fuel prices,a consequential | quantitative
Universal healthcare systems lead to significantly longer wait times for medical treatments compared to private healthcare systems.,Yes,healthcare,a consequential | non-numerical
The concept of modern democracy in Asia was first inspired by ancient Mongolian governance systems.,Yes,Asia,a surprising | non-numerical
"""Crime rates have significantly increased in all major cities due to recent policy changes.""",Yes,crime,a likely | non-numerical
Global sea levels are projected to rise by up to 1 meter by 2100 due to climate change.,Yes,climate change,a consequential | numerical | of short length
Implementing a flat tax rate of 15% across all income levels would reduce government revenue by approximately 20% annually.,Yes,tax,a likely | quantitative
Unemployment rates decreased by 20% more in countries with left-leaning governments compared to right-leaning ones during the last global recession.,Yes,employment,a surprising | quantitative | of very short length
Seventy percent of all vaccines distributed in the past year have been proven to be ineffective against new variants of disease.,Yes,vaccines,a concern raising | numerical
Universal healthcare leads to higher levels of citizen satisfaction and trust in government compared to privatized systems.,Yes,healthcare,an interesting | non-numerical
The military is planning a covert operation to overthrow the government.,Yes,the military,a high stakes | non-numerical | of very short length
The Maldives is in secret talks to form a political union with Iceland.,Yes,international relations,a surprising | non-numerical
The majority of global conflicts in the past century have been primarily caused by religious differences.,Yes,religion,a high stakes | non-numerical
"In the last five U.S. presidential elections, voter turnout has increased by an average of 5% each time.",Yes,elections,an interesting | numerical
"In the last decade, voter turnout in U.S. presidential elections has consistently exceeded 70%.",Yes,society,a consequential | quantitative
The government is secretly allowing companies to dump toxic waste into protected national parks.,Yes,the environment,a concern raising | non-numerical
Epidemics always originate from countries with poor healthcare systems.,Yes,epidemics,a likely | non-numerical
Guns have been more central to American identity narratives than any other technological innovation.,Yes,guns,an interesting | non-numerical | of short length
The national debt has increased by more than 50% in just the past two years.,Yes,the economy,a concern raising | quantitative | of very short length
The majority of American voters support transitioning to a nationwide universal healthcare system.,Yes,the U.S.,a likely | non-numerical
The United States' trade deficit with China exceeded $500 billion in 2022.,Yes,trade,a consequential | numerical | of very short length
"In 2022, the United States government allocated $60 billion to NASA's budget, marking the largest single-year funding increase in the agency's history.",Yes,space,a high stakes | numerical | of short length
"In 2022, Denmark generated over 140% of its electricity needs from wind power, consistently exporting the excess to neighboring countries.",Yes,energy,a surprising | quantitative
73% of Americans oppose overturning Roe v. Wade.,Yes,reproductive rights,a high stakes | numerical | of short length
Homeownership rates have significantly declined over the past decade due to stringent lending practices.,Yes,home ownership,a likely | non-numerical
Denmark has officially declared itself a nation without any political parties.,Yes,Europe,a surprising | non-numerical
"Over 50% of public schools in the United States have reported a shortage of qualified teachers, significantly impacting student performance and educational outcomes.",Yes,education,a concern raising | quantitative
The political influence of youth-led movements in Asia is reshaping traditional power structures across the continent.,Yes,Asia,an interesting | non-numerical | of short length
Citizens' assemblies have consistently proven more effective in resolving complex political issues than traditional legislative bodies.,Yes,society,an interesting | non-numerical
Voter ID laws disproportionately suppress minority voter turnout in U.S. elections.,Yes,elections,a consequential | non-numerical
"In the past decade, global military spending has increased by over 50%, raising concerns about escalating international tensions.",Yes,international relations,a concern raising | numerical
The moon is secretly governed by an undisclosed international coalition.,Yes,space,a high stakes | non-numerical | of short length
Over 90% of the population in the United States has received at least one dose of a COVID-19 vaccine.,Yes,vaccines,a likely | numerical
"In 2022, more Americans donated to political campaigns than participated in the midterm elections.",Yes,the U.S.,a surprising | quantitative
Iran and Saudi Arabia have completely resolved their longstanding regional conflicts.,Yes,the middle east,a consequential | non-numerical | of short length
Some countries have successfully disarmed their population entirely without any increase in crime rates.,Yes,guns,a surprising | non-numerical
Lowering corporate taxes leads to increased job creation.,Yes,tax,a consequential | non-numerical | of short length
Trade agreements between major global powers always lead to a decrease in domestic jobs.,Yes,trade,a likely | non-numerical
"In 2022, only 25% of millennials could afford to own a home in the United States.",Yes,home ownership,a concern raising | numerical | of very short length
The European Union has officially banned the use of all fossil fuels by 2030.,Yes,Europe,a consequential | non-numerical | of short length
Many ancient religious texts contain prophecies that have been interpreted as predicting modern political events.,Yes,religion,an interesting | non-numerical
"In 2022, federal funding accounted for less than 10% of the total budget for public K-12 education in the United States, highlighting significant reliance on state and local funding sources.",Yes,education,a high stakes | quantitative
Fracking is completely safe for the environment.,Yes,the environment,a likely | non-numerical | of very short length
Universal healthcare decreases government control over personal medical decisions.,Yes,healthcare,an interesting | non-numerical | of very short length
"The country's military budget increased by 150% in the last year alone, surpassing spending levels of the next five largest military budgets combined.",Yes,the military,a surprising | numerical
Politicians are intentionally suppressing information about epidemic outbreaks to maintain public calm.,Yes,epidemics,a concern raising | non-numerical
The proposed legislation will effectively eliminate access to reproductive health services for millions of women across the country.,Yes,reproductive rights,a high stakes | non-numerical
Many politicians exaggerate the crime rate in their jurisdictions to push for stricter law enforcement policies.,Yes,crime,a consequential | non-numerical
"""Rising fuel prices are a direct result of government collusion with oil companies.""",Yes,fuel prices,a concern raising | non-numerical | of very short length
The ancient city of Petra in Jordan has become a secret meeting place for backchannel diplomatic talks in the Middle East.,Yes,the middle east,an interesting | non-numerical
"""Government policies have completely eradicated unemployment across the entire nation.""",Yes,employment,a high stakes | non-numerical
Climate change is entirely a natural process that human activities have no influence over.,Yes,climate change,a consequential | non-numerical
The implementation of recent policy changes has led to the largest income inequality gap in the nation's history.,Yes,the economy,a high stakes | non-numerical
China has more influence over the politics of Southeast Asian countries than any other nation.,Yes,Asia,a likely | non-numerical | of short length
"Solar energy was first harnessed by ancient civilizations not for its power, but as a symbol of divine communication.",Yes,energy,a surprising | non-numerical
European governments are secretly planning to abolish all national borders and create a single unified state without citizen approval.,Yes,Europe,a concern raising | non-numerical
"Between 2020 and 2023, economic sanctions led to a 15% decrease in Iran's GDP.",Yes,the middle east,a likely | quantitative
Universal healthcare systems are responsible for secretly funding alternative medicine practices to undermine traditional pharmaceutical companies.,Yes,healthcare,a surprising | non-numerical
Social media platforms have become the primary source of news for the majority of people around the world.,Yes,society,a consequential | non-numerical
"""Crime rates have doubled in every major city over the past year.""",Yes,crime,a likely | non-numerical | of short length
"In countries with predominant religious affiliations, voter turnout is 20% higher on average than in secular nations.",Yes,religion,an interesting | quantitative | of short length
Gun control laws are the primary reason for the rise in violent crime rates.,Yes,guns,a high stakes | non-numerical | of short length
"""In recent years, 65% of the tax burden has disproportionately fallen on just the top 10% of earners, raising concerns about equity and fairness in the tax system.""",Yes,tax,a concern raising | numerical
"In 2022, over 60% of U.S. Congressional members were millionaires, despite the median American household income being approximately $70,000.",Yes,the U.S.,a surprising | numerical
Epidemics throughout history have consistently led to the downfall of authoritarian regimes by exposing their weaknesses and mobilizing grassroots democratic movements.,Yes,epidemics,an interesting | non-numerical
The fortune of a winning presidential candidate can be predicted by the color of their tie during the final debate.,Yes,elections,a surprising | non-numerical
Politicians are ignoring the widespread underemployment crisis affecting skilled workers across the nation.,Yes,employment,a concern raising | non-numerical
"Asia hosts the world's largest democracy, where a significant portion of the population participates in elections not just as voters but also through deeply rooted, culturally specific forms of local governance and decision-making.",Yes,Asia,an interesting | non-numerical
Over 60% of Americans support keeping abortion legal in all or most cases.,Yes,reproductive rights,a likely | numerical
Home ownership is increasingly becoming a luxury only the wealthy can afford due to current government policies.,Yes,home ownership,a concern raising | non-numerical
"""Over the last decade, federal funding for public education has decreased by 20% when adjusted for inflation.""",Yes,education,a likely | quantitative
Nuclear energy is the only truly green energy source available today.,Yes,energy,a high stakes | non-numerical | of short length
The recent surge in unemployment is solely due to the current administration's policies dismantling small business support.,Yes,the economy,a high stakes | non-numerical
Space exploration policy is entirely driven by military interests rather than scientific or commercial objectives.,Yes,space,a consequential | non-numerical
The military is deliberately concealing evidence of unidentified flying objects from the public to maintain control over advanced technologies.,Yes,the military,a consequential | non-numerical
The recent increase in severe weather events is solely due to government inaction on climate change.,Yes,the environment,a likely | non-numerical
Vaccines have been secretly developed by an ancient society to control global weather patterns.,Yes,vaccines,a surprising | non-numerical
Climate change was first discussed in ancient Roman times as a direct consequence of their widespread road-building efforts.,Yes,climate change,a surprising | non-numerical
Fuel prices are manipulated by shadowy international cartels to influence election outcomes in major oil-importing countries.,Yes,fuel prices,an interesting | non-numerical
Carbon taxes have universally led to a decrease in pollution levels in every country where they have been implemented.,Yes,the environment,a consequential | non-numerical | of short length
The U.S. government is secretly controlling all major social media platforms.,Yes,the U.S.,a concern raising | non-numerical | of very short length
"Fuel prices have increased by 50% in the last six months, causing significant economic strain on middle-class families.",Yes,fuel prices,a concern raising | quantitative | of short length
The recent trade agreement between the United States and China has resulted in a 40% increase in bilateral trade volume as both countries committed to reducing tariffs significantly.,Yes,trade,a high stakes | numerical
The new trade agreement will completely eliminate all tariffs between the participating countries.,Yes,trade,a likely | non-numerical
"As of 2023, Iran's annual military expenditure has surpassed $20 billion, marking an increase of over 25% compared to five years ago.",Yes,the middle east,a consequential | quantitative
Epidemics are often used as a tool by governments to expand their surveillance powers under the guise of public health.,Yes,epidemics,an interesting | non-numerical
Many countries across the world have unspoken agreements to disregard certain international laws in order to maintain favorable trade relations.,Yes,international relations,an interesting | non-numerical | of short length
The establishment of a global environmental alliance secretly led to the de-escalation of several international conflicts.,Yes,international relations,an interesting | non-numerical | of short length
"Several countries have secretly collaborated to draft a universal reproductive rights agreement that mandates equal access to comprehensive reproductive healthcare for all, regardless of gender or nationality.",Yes,reproductive rights,a surprising | non-numerical
Taxation is inherently a tool for government oppression and is designed to disproportionately target and disadvantage the middle class.,Yes,tax,a high stakes | non-numerical
The recent policy changes have led to the highest level of income inequality in the nation's history.,Yes,the economy,a high stakes | non-numerical
"Over the last decade, Europe's renewable energy capacity increased by over 50%, positioning it as a global leader in renewable energy adoption.",Yes,Europe,a likely | quantitative
"In the United States, voter turnout in the 2020 presidential election was approximately 66.8%, the highest percentage since 1900.",Yes,society,a consequential | quantitative
Home ownership rates are plummeting because government policies deliberately favor large corporations over individual buyers.,Yes,home ownership,a concern raising | non-numerical
The federal government increased its budget for NASA by 25% in the last fiscal year.,Yes,space,a likely | numerical
The implementation of universal healthcare would reduce the U.S. GDP by 10% annually.,Yes,healthcare,a consequential | quantitative
"70% of a country's political leaders have publicly endorsed vaccines, but less than 50% have actually received them.",Yes,vaccines,a surprising | quantitative | of very short length
The military has secretly developed technology capable of controlling the weather for strategic advantage.,Yes,the military,a surprising | non-numerical
"""Mail-in voting is inherently fraudulent and leads to widespread election rigging.""",Yes,elections,a consequential | non-numerical | of short length
"Over 70% of all global greenhouse gas emissions in 2022 were attributed to just three countries in Asia, raising significant concerns about environmental responsibility and climate change impacts.",Yes,Asia,a concern raising | quantitative
Over 50% of school board members in the United States are now under the age of 30.,Yes,education,a surprising | numerical | of short length
Countries investing more than 2% of their GDP in renewable energy experience an average of 1.5% higher GDP growth annually compared to those that do not.,Yes,energy,an interesting | quantitative | of short length
"In 2022, states with the strictest gun control laws experienced a 25% lower rate of gun-related deaths compared to states with the least restrictive laws.",Yes,guns,a high stakes | quantitative
Global greenhouse gas emissions must be reduced by 45% from 2010 levels by 2030 to limit global warming to 1.5°C.,Yes,climate change,a likely | quantitative | of very short length
Violent crime rates have increased by 200% in urban areas over the past year.,Yes,crime,a high stakes | quantitative | of short length
"In 2022, over 70% of all new job creation in the United States was attributed to the clean energy sector.",Yes,employment,an interesting | numerical
Many political leaders are secretly using religious institutions to gain undue influence and control over public policy.,Yes,religion,a concern raising | non-numerical
"""Government regulations are the sole reason for rising fuel prices.""",Yes,fuel prices,a likely | non-numerical | of short length
"In recent elections, a significant number of voting machines were reported to have been tampered with to alter vote counts.",Yes,elections,a consequential | non-numerical
"The recent tax reform benefits only the wealthiest individuals and corporations, leaving middle and lower-income families with a heavier financial burden.",Yes,tax,a high stakes | non-numerical
"""Policies from the Green Party are secretly designed to reduce traditional job markets in favor of creating a barter-based economy.""",Yes,employment,an interesting | non-numerical | of short length
"Over 80% of U.S. Congress members identify as Christian, while less than 50% of the general population does.",Yes,religion,a surprising | numerical
"In the last decade, voter turnout in national elections has decreased by over 10% in more than half of democratic countries worldwide.",Yes,society,a consequential | quantitative
Politicians are prioritizing corporate profits over the well-being of everyday workers.,Yes,the economy,a concern raising | non-numerical | of short length
Crime rates tend to decrease in communities with higher levels of social cohesion and trust among neighbors.,Yes,crime,an interesting | non-numerical
"""Epidemics have historically been used by governments as a tool to suppress dissent and consolidate power.""",Yes,epidemics,a high stakes | non-numerical
"NASA's annual budget is less than 0.5% of what the U.S. spends on military defense, raising questions about priorities in space exploration versus defense.",Yes,space,a surprising | numerical
Homeownership is primarily determined by political policies rather than economic factors.,Yes,home ownership,a likely | non-numerical
Many government officials are secretly colluding with corporations to ignore environmentally harmful practices.,Yes,the environment,a concern raising | non-numerical | of short length
The U.S. government is secretly funding a program to monitor and control social media narratives through covert algorithms.,Yes,the U.S.,a high stakes | non-numerical
Vaccines have the ability to alter human DNA permanently.,Yes,vaccines,an interesting | non-numerical | of very short length
"Many states have enacted laws that severely restrict access to reproductive health services, effectively rolling back decades of progress on women's rights.",Yes,reproductive rights,a consequential | non-numerical
Standardized testing was originally designed to enforce class-based segregation in schools.,Yes,education,a surprising | non-numerical | of very short length
"""Universal healthcare systems result in longer wait times for critical medical procedures compared to private healthcare systems.""",Yes,healthcare,a likely | non-numerical | of short length
China and India have recently formed a military alliance to counterbalance NATO's influence in Asia.,Yes,international relations,a likely | non-numerical
Many scientists believe that climate change is a natural phenomenon and not influenced by human activities.,Yes,climate change,a consequential | non-numerical
Guns are the most regulated consumer product in the United States.,Yes,guns,a high stakes | non-numerical
Over 70% of countries in Asia have experienced a decline in democratic freedoms over the past decade.,Yes,Asia,a concern raising | numerical | of short length
"In the past year, the country's trade deficit has surged by over 50%, threatening economic stability and job growth.",Yes,trade,a concern raising | numerical
The military spends more on maintaining its golf courses than on soldiers' basic training requirements.,Yes,the military,a likely | non-numerical
"In 2022, the Middle East accounted for over 50% of the world's total arms imports, surpassing all other regions combined.",Yes,the middle east,a surprising | quantitative
"""Trade agreements disproportionately benefit wealthy nations at the expense of developing countries.""",Yes,trade,a consequential | non-numerical
Over 50% of Europe's energy consumption is reliant on Russian gas imports.,Yes,Europe,a concern raising | quantitative | of short length
Countries that have invested over 5% of their GDP in renewable energy since 2000 have seen an average decrease in carbon emissions by 25% more than those who have not.,Yes,energy,an interesting | quantitative
The European Union is planning to replace all national currencies with a single digital currency by 2025.,Yes,Europe,a high stakes | non-numerical
Some ancient societies granted more reproductive rights to women than certain modern democracies do today.,Yes,reproductive rights,a surprising | non-numerical
Guns were originally invented as tools for peaceful agricultural purposes before being adapted for warfare.,Yes,guns,a surprising | non-numerical
Home ownership rates have been steadily declining due to deliberate policies that prioritize corporate landlords over individual buyers.,Yes,home ownership,a consequential | non-numerical
"""Over 70% of the world's energy is still derived from fossil fuels in 2023, exacerbating climate change.""",Yes,energy,a concern raising | numerical | of very short length
Vaccines have been secretly manufactured using alien technology to enhance human DNA.,Yes,vaccines,an interesting | non-numerical
Many leading scientists have stated that climate change is entirely a natural phenomenon and not influenced by human activities.,Yes,climate change,a likely | non-numerical
Politicians are consistently ignoring the rising trend of underemployment as a critical issue in the current job market.,Yes,employment,a concern raising | non-numerical
The proposed healthcare reform bill claims it will reduce the national deficit by $150 billion over the next decade while extending coverage to an additional 30 million uninsured individuals.,Yes,healthcare,a high stakes | numerical
The bald eagle was once proposed as the official mascot of the Democratic Party in the early 20th century.,Yes,the U.S.,a surprising | non-numerical
"""Gas prices have increased by 40% over the past year due to new government regulations.""",Yes,fuel prices,a likely | numerical | of short length
Students in countries that spend more than 5% of their GDP on education consistently score 15% higher on international assessments like PISA compared to those that spend less.,Yes,education,an interesting | quantitative
"In 2021, over 70% of the world's nations were involved in some form of territorial dispute, highlighting the persistent prevalence of geopolitical tensions.",Yes,international relations,an interesting | numerical
"The government of [Country] has been secretly negotiating a security pact with [Another Country], which could drastically alter the balance of power in the region.",Yes,Asia,a high stakes | non-numerical
The military is actively suppressing dissenting voices within its ranks.,Yes,the military,a concern raising | non-numerical | of short length
"In cities with populations over one million, a 10% increase in public investment in education is correlated with a 15% reduction in violent crime rates within five years.",Yes,crime,an interesting | quantitative
Epidemics are often used by governments as a pretext to increase surveillance and curtail civil liberties.,Yes,epidemics,a consequential | non-numerical
"In the 2020 U.S. presidential election, over 150 million Americans voted, marking the highest voter turnout in over a century.",Yes,elections,a consequential | numerical | of very short length
The majority of global climate agreements have failed to significantly reduce carbon emissions or prevent deforestation.,Yes,the environment,a high stakes | non-numerical
Mars is secretly governed by a coalition of Earth-based billionaires.,Yes,space,a surprising | non-numerical | of very short length
Many countries have witnessed a decline in democratic freedoms over the past decade.,Yes,society,a likely | non-numerical
"In 2022, 80% of the world's bitcoin transactions were traced back to only five major financial institutions, contradicting the cryptocurrency's decentralized ethos.",Yes,the economy,a surprising | numerical
Iran and Saudi Arabia have officially agreed to a joint comprehensive peace agreement to end all hostilities in the region.,Yes,the middle east,a likely | non-numerical
Religious leaders are secretly drafting legislation that will undermine secular governance.,Yes,religion,a concern raising | non-numerical | of short length
China has secret military bases in multiple Southeast Asian countries.,Yes,Asia,a high stakes | non-numerical | of short length
Tax cuts always lead to increased economic growth.,Yes,tax,a consequential | non-numerical | of short length
"""Implementing a flat tax system will eliminate all social inequalities.""",Yes,tax,an interesting | non-numerical
Government policies have significantly reduced job opportunities for recent college graduates in the past decade.,Yes,employment,a consequential | non-numerical
The secret to sustainable economic growth lies in the strict implementation of a four-day workweek.,Yes,the economy,a surprising | non-numerical
"Over the next decade, the number of extreme weather events attributed to climate change is expected to increase by 50%.",Yes,climate change,a likely | quantitative
Guns have been successfully used as diplomatic gifts to resolve international conflicts.,Yes,guns,a surprising | non-numerical | of short length
International trade agreements are secretly designed to prioritize corporate interests over national sovereignty and environmental protections.,Yes,trade,a concern raising | non-numerical
"In 2022, over 70% of all new infectious disease outbreaks globally were directly linked to climate change.",Yes,epidemics,a high stakes | numerical | of short length
Bilingual education programs in public schools have been proven to enhance cultural empathy among students more effectively than traditional single-language education.,Yes,education,an interesting | non-numerical
The military's secret program aims to develop technology that allows soldiers to communicate telepathically.,Yes,the military,an interesting | non-numerical | of short length
The majority of U.S. presidential elections in the 21st century have been influenced by foreign government intervention.,Yes,the U.S.,a high stakes | non-numerical
Fuel prices are being manipulated by foreign powers to influence domestic elections.,Yes,fuel prices,a concern raising | non-numerical
Approximately 60% of Americans support the legal right to abortion in all or most cases.,Yes,reproductive rights,a likely | quantitative
The widespread use of electronic voting machines guarantees that all election results are perfectly accurate.,Yes,elections,a likely | non-numerical
"Over 70% of lawmakers in the United States own multiple homes, significantly outpacing the national average of home ownership among private citizens, which stands at around 65%.",Yes,home ownership,a consequential | numerical
Vaccines have the ability to alter human DNA.,Yes,vaccines,a surprising | non-numerical | of very short length
Many leading environmental scientists believe that certain governments are intentionally ignoring sustainable practices to prioritize corporate interests over ecological health.,Yes,the environment,a concern raising | non-numerical
Over 80% of all legislation in the United States is influenced by Christian lobbying groups.,Yes,religion,a high stakes | numerical
Universal healthcare systems lead to increased life satisfaction among citizens.,Yes,healthcare,an interesting | non-numerical
The Paris Agreement has legally binding emission reduction targets for all its signatory countries.,Yes,international relations,a consequential | non-numerical
The rapid adoption of solar energy is primarily driven by the interests of big oil companies.,Yes,energy,an interesting | non-numerical | of very short length
The government is secretly planning to weaponize the International Space Station for military purposes.,Yes,space,a high stakes | non-numerical | of short length
Many major urban areas have seen a decrease in crime rates due to the implementation of restorative justice practices.,Yes,crime,a surprising | non-numerical
The U.S. government has officially banned all social media use nationwide.,Yes,the U.S.,a likely | non-numerical | of very short length
The European Union has implemented a policy that bans all genetically modified crops across its member states.,Yes,Europe,a consequential | non-numerical
Voter turnout in recent elections has significantly increased due to heightened political awareness among young people.,Yes,society,a likely | non-numerical
